"category_id","parent_category","name","description","bottom_desc","image"
"1","0","Gold","At UOKing.com, our Ultima Online gold is sourced from dedicated players committed to providing a reliable and trustworthy service. Each piece of gold is meticulously collected and prepared for immediate delivery upon payment, ensuring a seamless experience for our customers. Purchasing <strong>UO gold</strong> from us allows you to establish a solid foothold in the game, enabling you to explore and enjoy the rich, late-game content that Ultima Online has to offer. With the introduction of platinum for players managing wealth in the billions, our service also caters to those looking to engage with this new tier of currency. We strive to offer the most competitive prices, often matching or beating market rates to ensure affordability for our members. Our payment options are flexible and convenient; you can purchase gold using any <strong>major debit or credit card without needing a PayPal account</strong>. Buying Ultima Online gold with <strong>venmo, zelle, and cashapp</strong> is also available. This flexibility ensures that everyone can quickly and easily enhance their game experience. Trust in UOKing.com to provide you with the gold you need to thrive in the world of Britannia. <BR><BR>

 

 ",,"uogold.png"
"2","0","Pets","The pets are part of the animal taming skill in the Ultima Online game, in which players can tame creatures in order to ride them or fight in battle.  With all the exciting changes happening to UO, one of them is pets.  Ultima Online pets used by tamers usually require a set amount of taming and animal lore. Now with new slots and training, you can have almost any pet you desire. Need a pet trained? Just ask us on live chat. We already added the new Triton Pet in Ultima Online along with Dinosaurs, cold drakes, and frost dragons being added soon. 

 Personally when i started playing Ultima Online i had a Red Cu Sidhe. I enjoyed having this pet because I was able to ride the pet along with kill various monsters. The pet was also able to heal itself, the only other pet side from the Cu Sidhe that could heals itself is the Triton. The fact this pet could heal itself was very convenient when killing a bunch of monsters.  In order to bond the pet to yourself you need to feed the pet everyday for seven days or you can use a pet bonding potion which will bond the pet to yourself instantly. The reason you want to bond your pet is so when the pet dies you can resurrect the pet. If you do not bond your pet once it dies it will be gone forever. ",,"pets.png"
"4","0","Special Deals","Every week we take items that we can offer for the best deals and we create an Ultima Online special deal here.  This category is expected to change weekly so continue to check back for new additions. 

",,"special-deals.png"
"5","0","Houses","Houses in Ultima Online represent a unique and highly coveted feature that sets the game apart from other MMORPGs. These custom-made homes offer players a personal space within the vast world of Britannia, providing both a functional and aesthetic addition to their in-game experience. Owning a house in Ultima Online isn't just about having a place to store your items; it's about crafting a space that reflects your character's identity and style. ","<div class=""section-title""><h2>Customizable and Diverse Housing Options</h2></div>

The beauty of Ultima Online houses lies in their extensive customization options and the variety of sizes and shapes available. From small, cozy cottages to grand castles and multi-level buildings, there's a housing option to fit every player's needs and imagination. Each plot of land in the game has its unique layout, allowing for creative freedom in designing and expanding your home. Whether you want a simple retreat or an elaborate fortress, the possibilities are nearly endless. <BR><BR>
<div class=""section-title"">
<h2>Benefits of Owning a House</h2>
</div>
Owning a house in Ultima Online comes with numerous benefits. It provides a private sanctuary where you can store items, set up crafting stations, and display trophies from your adventures. It also acts as a social hub where you can invite friends, host events, and gather with your guild. For many players, a house becomes the heart of their in-game activities, offering convenience and a sense of permanence in the ever-changing world of Britannia. <BR><BR>
<div class=""section-title"">
<h2>Securing Your Dream Location</h2>
</div>
Finding the perfect spot for your house is crucial. Whether you prefer a serene seaside location, a secluded forest clearing, or a bustling city suburb, location matters. Our service ensures that you don't end up with just any random plot; we take the time to find a prime location that suits your preferences. After placing your order, give us a few hours to scout and secure a desirable spot for your new home. We understand the importance of location and strive to provide a site that enhances your gameplay experience. <BR><BR>
<div class=""section-title"">
<h2>Purchasing and Placing Your House</h2>
</div>
To place a house, you'll need a house placement tool, which allows you to lay down a plot on your chosen land. Remember, each account can only own one house, so choose your plot wisely. If you're short on gold, check out our gold page to get the funds needed for your purchase. Once you've secured the necessary gold and selected your house type, you can begin the exciting process of building and customizing your dream home. <BR><BR>
<div class=""section-title"">
<h2>Patience for Perfection</h2>
</div>
After you've made your purchase, please be patient. We aim to provide not just a house but a home that fits perfectly into the landscape of Britannia. This process takes time, as finding a prime location and ensuring it meets your expectations is our priority. Trust that your patience will be rewarded with a fantastic home base that serves as the cornerstone of your adventures. <BR><BR>
<div class=""section-title"">
<h2>Start Customizing Your Space</h2>
</div>
Once your house is placed, the fun truly begins. Dive into the customization options to design interiors and exteriors that reflect your style. Fill your home with unique furniture, decorations, and storage solutions. Create crafting areas, libraries, or even galleries to showcase your rare items and achievements. The ability to continuously modify and enhance your home makes it a dynamic and evolving part of your Ultima Online journey. <BR><BR>

Secure your Ultima Online house today and start transforming it into the ultimate base of operations. Embrace the endless possibilities and make your mark on the world of Britannia. Whether you're a seasoned veteran or a new adventurer, a home in Ultima Online is more than just a shelters your personal slice of the game's rich, immersive world.","houses.png"
"6","0","Time of Legends","Ultima Online's Time of Legends expansion introduced a plethora of unique and powerful items that transport players to the mythic lands of Eodon. This expansion is rich with artifacts and equipment inspired by ancient civilizations and legendary tales. These items not only provide significant boosts to combat and crafting abilities but also carry a deep sense of lore and cultural resonance from the prehistoric-themed region of Eodon.  <BR><BR>

 The Ultima online time of legends items is an important list of items only found in the new expansion that can't be accessed, unless you have upgraded your account. Did you already buy Ultima Online Time of Legends ? Here you can buy any of the Shadowguard (Roof) artifacts. This is currently the latest expansion for ultima online. In the month of March 2018 they will be upgrading all free/paid accounts to Stygian abyss and this expansion grants access to the new pet training and skill masteries, lands, champions, new higher end loot and items.  ",,"time-of-legends.png"
"7","0","Custom Suits","We make everything from high end pvp suits to starter packages to get your new guys equipped and ready to go.  We will even make you a custom suit / pieces of you speak to live chat and then place your quoted order using the Order Filler product. If your looking for a custom suit for a new or old character, or looking for a specific type of suit look no further.  ",,"custom-suits.png"
"8","0","GameTime","Looking for gametime codes? Tired of paying cash to play UO? We can help you. Check out how you can pay for ultima online using gold! <BR><h3>PAY WITH IN-GAME GOLD</h3>
1 MONTH: 180 MIL<BR>
6 MONTH: 450 MIL<BR>
<BR>
Contact us on live chat to meet up in-game to collect your gold, at which point we will release the game time code to you.",,"gametime-codes.png"
"9","0","Mounts","Mounts in Ultima Online are more than just a means of transportationâ€”they are companions that enhance your adventures, providing speed, utility, and even combat assistance. From majestic horses to mystical creatures, mounts offer a variety of benefits that can significantly impact your gameplay. Whether youâ€™re exploring the vast lands of Britannia or engaging in fierce battles, the right mount can be a crucial ally in your journey. <BR><BR>

The mounts found here are a vast collection of rare and common riding mounts if you play a human or elf in the game. Find mounts here for your character that are ethereal, store, and tamed. These Ultima Online mounts will change the way you feel when playing the game. An amazing asset to have in Ultima Online is a statue mount that stays in your backpack when dismounted. One of the most popular mounts to use are ethereal vet rewards that can be obtained by having an account that is over a year old but isn't required to own one.  The more years old your account is the higher the vet rewards and different types of items. This list of mounts for sale covers everything from old to new.  Here you can find the top-level ethereal mounts and many others.  Some of them are only acquired by in-game PvM content and others are rewards given to players after years of paid subscription.  ",,"mounts.png"
"10","0","Tokens","Need one of the Ultima Online tokens but don't feel like going through the coin system? You can buy these Ultima Online tokens quickly using PayPal's checkout system. Grab them here quick and easy. New Ultima Online tokens are being released with the endless journey.  These are all 1-time use consumable upon double-clicking the item. Sometimes players choose to buy the tokens off vendors with <a href=""/UO/Gold"">UO Gold</a>,
<BR><BR>
Mythic Character Token: 225 total stats, and 90 skill in 5 of your choosing<BR>
Race Change Token: Changes your character race<BR>
Name Change Token: Changes your character name<BR>
Full Soulstone Token: Re-usable way to transfer skills between characters<BR>",,"tokens.png"
"11","0","Powerscrolls","The power scrolls are an item in Ultima Online that allows you to reach past your skill cap. A Power scroll in Ultima Online allows you to take your skill cap on specific skills past 100 all the way up to 120.  This is just for raising the cap not the actual base skill. You need to buy these UO 120 power scrolls if you want max skills. Every single Ultima Online power scroll is here and ready to be delivered to a happy customer. <BR>

ATTENTION:  Get every UO power scroll for sale on your characters and pets! What are they you ask? It allows your skill cap to increase from max 100 to 120.  This allows you to then train your skill to 120.

<br><br>SCROLLS FOR PETS: Wrestling, Tactics, Anatomy, Meditation, Focus, Parry, Resist Spells - Spellweaving, Chivalry, Magery, Discordance, Mysticism <BR>

Power scroll prices have been adjusted to match in game market so that our prices remain competitive.",,"powerscrolls.png"
