"item_id","item_name","description","tooltip_desc","image1","image2","price","category_id","cat_also","cat_third","char_class","special","game_name","game_stack","game_color","game_type","spawn_text","rank","sold","date_created"
"1","50 Million Gold","UO 50 million gold is an inspirational target to reach, allowing you the freedom to purchase anything you wish and still have some change left over. Stuff your pockets full of 50 million UO gold, and it should hold you over for awhile. What will you buy once you have all this gold? The UO 50 million gold is hard to get in Ultima Online but can easily be ordered from us. Get this great deal on safe gold that was not duped. We work hard to farm our gold legitimately, so you get a safe trade. This can buy tons of items in Ultima Online, ensuring you can always grab something if you need it. This is one of the most common purchases of gold because it covers most in-game expenses and items. We have helped over 200 Ultima Online players get the gold they need. Speak with the live chat delivery and then meet up with them in the game.","Gold Delivered To Your Character","50million.png","50million.png","4.5","1","0","0",,"0",,"0","1",,"Almost all skills can be used in some way to farm gold or trade items to reach 50 million in Ultima Online gold.","4","0","0000-00-00"
"2","100 Million Gold","The 100 million gold is the only thing standing in the way from being able to buy any Ultima Online items in the game. Let's go, baby, send me 100 million UO gold! Want to be in the 100 millionaire club? Just add this to cart and then it's yours in minutes! Get UO 100 Million Gold traded to your character in-game. Everything you buy here was gathered in the game without the use of exploits. Stack a few of these and you can buy just about anything in the game.  After you confirm it's you we will accept the trade window to complete the purchase.","100 Million worth of gold!","checks.png","checks.png","9","1","0","0",,"0",,"0","1",,,"5","0","2018-09-13"
"3","250 Million Gold","The 250 million gold is an extraordinarily high amount of UO gold for just about anyone which would leave you to be considered quite rich. Looking for a quarter plat of UO gold? We got it and we can have it delivered in minutes! Grab 250 million UO gold just place an order and talk to live chat for delivery. Stop messing around and grab 250 million gold for ultima online. This is about the same amount needed for one of those cameos. Perhaps you are looking to buy a fully trained pet with this gold. Whatever the case is we have exactly what you need in ultima online gold.","A Quarter Plat!","250-million-gold.png","250-million-gold.png","22.5","1","0","0",,"0",,"0","1",,,"6","0","2018-02-26"
"4","18x18 Trammel","We have 18x18 houses custom suited to your needs. Add location notes to your order and I will hunt down and find you the perfect 18x18 house in ultima online.  This price is based on Atlantic server and going rate of houses.  If you are looking for a house on another server ask live chat about it for cheaper price.","A 18x18 house plot","18x18plot.png","18x18plot.png","189.99","5","0","0",,"0",,"0","1",,,"3","0","2018-02-25"
"5","18x18 Malas","Looking for a 18x18 Atlantic house custom suited to your needs? Add location notes to your order and i will hunt down and find you the perfect 18x18. Ask us in live chat for availability.","Biggest Custom Plot House","18x18plot.png","18x18plot.png","169.99","5","0","0",,"0",,"0","1",,,"3","0","2018-02-25"
"6","25 Million Gold","The 25 million gold coins are part of the currency system in the Ultima Online game, which lets anyone buy and sell items they find. Add as much as you need, and then, after paying, we can deliver it. This is a good amount of UO gold to get if you are trying to buy some of the more obtainable gear and drop items. Good for starting out. Ultima Online: 25 million gold will be delivered to you at Luna Bank. Gold in this game continues to become harder to get. Right now, most of the gold in the game is circulated and traded for items back and forth, but as more players come in, the gold gets harder and harder to get. With this much, you can purchase in-game starter gear for five characters by checking the vendor search for suits. 25 million gold in UO, is what you hope to achieve quickly so you can suit your character and establish a nice home. ","25 Million UO Gold","25-mil-gold.png","25-mil-gold.png","2.25","1","0","0",,"0",,"0","1",,"Any monster, treasure chests, trading items with players, crafting","3","0","0000-00-00"
"7","5 Million Gold"," The 5 million gold is a tradable currency that can allow you to afford most items in the game of Ultima Online and will make most players consider you wealthy. Buy 5 million UO Gold and have it delivered to you in-game! Every bit of Ultima Online gold that you buy here makes its way to a trade window for you to accept when we meet up. Need some UO gold to get your starting items but don't have time to farm the gold? 5 Million gold should do the trick quite nicely. This 5 million will go a long way depending on your needs. Please try to keep any Ultima Online gold orders above $3 minimum total order so we don't get killed on the fees.  We meet you in-game minutes after ordering to deliver the 5 million in UO gold. Enjoy end game content in Ultima Online after you buy enough gold to do anything you want!","5 Million UO Gold","5-mil-gold.png","5-mil-gold.png","0.45","1","0","0",,"0",,"0","1",,,"1","0","2018-09-13"
"8","White Wyrm Frost","Extremely hard to spawn dark frost blue-white wyrm. Very cool looking new pet in UO. Recently Ultima Online made changes to the spawns of some old creatures like the white wyrm. There are 3 new colors with the dark blue frost hue being the rarest.","A rare colored white wyrm","white-wyrm-frost.png","white-wyrm-frost.png","24.99","2","0","0","tamer","0",,"0","1",,NULL,"0","0","2018-02-25"
"10","10 Million Gold","10 million gold is a prestigious amount for anyone to obtain in Ultima Online and should make any player proud of that much gold. We have recently lowered the price of gold so that you can get a better deal. Begin the endless journey with over 10 million in your Ultima online bank. You should always have at least 10 million in the bank! Ultima Online's 10 million gold will be delivered to you at Luna Bank. There is always so much to buy in UO that it gets really hard to know if you have enough UO gold at all times. Let us know if there is anything at all to help make your purchases better.

In the vast and immersive world of Ultima Online, having a starting amount of 10 million gold can significantly enhance a player's experience from the get-go. This considerable sum allows for the immediate acquisition of advanced gear, weapons, and resources, providing a competitive edge and facilitating rapid progression through the game. Additionally, this wealth enables players to secure a desirable plot of land, construct a magnificent dwelling, and create a thriving virtual community. By starting with 10 million gold, players can bypass the time-consuming and often tedious grind of accumulating wealth, allowing them to focus on engaging with the rich, dynamic world and maximizing their enjoyment of Ultima Online.","10 Million UO Gold","10-mil-gold.png","10-mil-gold.png","0.9","1","0","0",,"0",,"0","1",,"Farming 10 million gold can be quick and easy with a strong pet or 120 skill character. ","2","0","2018-02-26"
"12","Anons Boots","Anon's boots are a rare drop in the Shadowguard boss room., which allows players who are trying to get their suit to the right HCI/DCI to swap one for the other. Anon's Boots is a drop in ultima online from the boss Anon. Order these UO anon's boots for your feet for an amazing upgrade. Swap 5 Hit Chance Increase for 10 Defense Chance Increase with these special boots. Anon's boots are great if you are trying to balance out some extra defense chance and add it to HCI.

Weight: 3 Stones
Hit Chance Increase -5%
Defense Chance Increase 10%
Strength Requirement 10
Durability: 255 / 255

","Weight: 3 Stones
Hit Chance Increase -5%
Defense Chance Increase 10%
Strength Requirement 10
Durability: 255 / 255","anon-boots.png","anon-boots.png","2.25","6","15","33","melee, ranged","0",,"0","1",,"These spawn as a random drop when killing the final boss in Shadowguard.","0","0","2018-03-11"
